,base,authors_l,title_l,title,journal_l,keywords_l,year,language,doi
22,wos,"c lopez-duarte, mm vidal-suarez, b gonzalez-diaz",cross national distance international business an analysis most influential recent models,Cross-national distance and international business: an analysis of the most influential recent models,scientometrics,"altmetrics, bibliometric analysis, cross-national distance, cultural distance, psychic distance",2019,English,10.1007/s11192-019-03203-y
23,wos,"m erfanmanesh, a noorhidawati, a abrizah",what can bookmetrix tell us about impact springer natures books,What can Bookmetrix tell us about the impact of Springer Nature's books,scientometrics,"altmetrics, bibliometrics, book impact assessment, crossref citation, mendeley bookmarks, usage metrics",2019,English,10.1007/s11192-019-03198-6
26,wos,"sk banshal, vk singh, pk muhuri, p mayr",how much research output from india gets social media attention,How much research output from India gets social media attention?,current science,"disciplinary variation, research output, scholarly articles, social media",2019,English,10.18520/cs/v117/i5/753-760
28,wos,"t solanki, m karmakar, sk banshal, vk singh",social media coverage research output from 100 most productive institutions in india,Social Media Coverage of Research Output from 100 Most Productive Institutions in India,journal of scientometric research,"altmetrics, research performance, scholarly publishing, science and society, scientometrics, social media",2019,English,10.5530/jscires.8.3.30
29,wos,"a meseguer-martinez, a ros-galvez, a rosa-garcia, ja catalan-alarcon",online video impact world class universities,Online video impact of world class universities,electronic markets,"altmetrics, h-index, impact, online video, rankings, world class universities",2019,English,10.1007/s12525-018-0315-4
30,wos,"y hassona, t qutachi, l dardas, ms alrashdan, f sawair",online attention to oral cancer research an altmetric analysis,The online attention to oral cancer research: An Altmetric analysis,oral diseases,"altmetrics, cancer, citation, mouth, online attention, oral, public engagement, research dissemination, social media",2019,English,10.1111/odi.13111
31,wos,"dkc goyal, ms galetta, tl fang, j mangan, m lendner, ar vaccaro, ck kepler, gd schroeder, ad sharan",impact social media in orthopaedics,The impact of social media in orthopaedics,current orthopaedic practice,"altmetrics, citation-based metrics, facebook, h-index, impact factor, orthopaedics, physician rating websites, social media, twitter",2019,English,10.1097/bco.0000000000000788
32,wos,"rf araujo, m alves",altmetrics scholarly publications brazilian researchers analysis cnpq productivity holders,Altmetrics of scholarly publications of Brazilian researchers: analysis of the CNPq productivity holders,revista ibero americana de ciencia da informacao,"altmetrics, brazilian productivity holder, cnpq, online attention, social impact",2019,Portuguese,10.26512/rici.v12.n3.2019.17203
33,wos,"s ajmera, rp lee, a schultz, ds hersh, j lepard, r xu, h saad, o akinduro, m justo, bd fraser, m motiwala, p dave, b jimenez, da wallace, o osikoya, s norrdahl, jh dooley, nr khan, bn vaughn, co maher, p klimo",postgraduate publishing output in pediatric neurosurgery correlation with fellowship site individual scholars,Postgraduate publishing output in pediatric neurosurgery: correlation with fellowship site and individual scholars,journal of neurosurgery pediatrics,"bibliometrics, fellowship, h-index, r-index, ranking, top 25",2019,English,10.3171/2019.4.peds18717
34,wos,"ry zhao, x wang",evaluation comparison influence in international open access journals between china usa,Evaluation and comparison of influence in international Open Access journals between China and USA,scientometrics,"academic influence, altmetrics indicator, citation indicator, evaluation and comparison, international oa journal, societal influence",2019,English,10.1007/s11192-019-03159-z
35,wos,"ps chi, j gorraiz, w glanzel",comparing capture usage citation indicators an altmetric analysis journal papers in chemistry disciplines,"Comparing capture, usage and citation indicators: an altmetric analysis of journal papers in chemistry disciplines",scientometrics,"altmetrics, characteristic scores and scales, citations, plumx metrics, wos usage",2019,English,10.1007/s11192-019-03168-y
36,wos,"a cox, e gadd, s petersohn, l sbaffi",competencies for bibliometrics,Competencies for bibliometrics,journal of librarianship and information science,"altmetrics, bibliometrics, citation analysis, job analysis, professional competencies, research evaluation",2019,English,10.1177/0961000617728111
37,wos,m thelwall,do mendeley reader counts indicate value arts humanities research,Do Mendeley reader counts indicate the value of arts and humanities research?,journal of librarianship and information science,"altmetrics, arts, humanities, mendeley, research evaluation, scientometrics",2019,English,10.1177/0961000617732381
38,wos,"n aharony, j bar-ilan, h julien, m benyamin-kahana, t cooper",acceptance altmetrics by lis scholars an exploratory study,Acceptance of altmetrics by LIS scholars: An exploratory study,journal of librarianship and information science,"altmetrics, bibliometrics, survey",2019,English,10.1177/0961000617742461
39,wos,"ij ezema, ci ugwu",correlating research impact library information science journals using citation counts altmetrics attention,Correlating research impact of library and information science journals using citation counts and altmetrics attention,information discovery and delivery,"altmetrics, citation analysis, collection development, information science, journal evaluation, research evaluation",2019,English,10.1108/idd-08-2018-0029
40,wos,lg willighagen,citation js a format independent modular bibliography tool for browser command line,"Citation.js: a format-independent, modular bibliography tool for the browser and command line",peerj computer science,"bibliography, javascript",2019,English,10.7717/peerj-cs.214
41,wos,"a regan, m henchion",making sense altmetrics perceived threats opportunities for academic identity,Making sense of altmetrics: The perceived threats and opportunities for academic identity,science and public policy,"academic identity, altmetrics, research evaluation, research impact, research policy, social media",2019,English,10.1093/scipol/scz001
42,wos,"sa azer, s azer",top cited articles in medical professionalism a bibliometric analysis versus altmetric scores,Top-cited articles in medical professionalism: a bibliometric analysis versus altmetric scores,bmj open,,2019,English,10.1136/bmjopen-2019-029433
43,wos,"hh aung, h zheng, m erdt, as aw, scj sin, yl theng",investigating familiarity usage traditional metrics altmetrics,Investigating Familiarity and Usage of Traditional Metrics and Altmetrics,journal of the association for information science and technology,,2019,English,10.1002/asi.24162
44,wos,"d torres-salinas, e romero-frias, w arroyo-machado",mapping backbone humanities through eyes wikipedia,Mapping the backbone of the Humanities through the eyes of Wikipedia,journal of informetrics,"co-citation analysis, digital humanities, network analysis, scientific journals, scopus, wikipedia",2019,English,10.1016/j.joi.2019.07.002
45,wos,"hq yu, tt xiao, sm xu, yf wang",who posts scientific tweets an investigation into productivity locations identities scientific tweeters,"Who posts scientific tweets? An investigation into the productivity, locations, and identities of scientific tweeters",journal of informetrics,"altmetrics, geographic distribution, scholarly communication, scientific tweeters, twitter",2019,English,10.1016/j.joi.2019.08.001
46,wos,"y kim, je kim, yh kim, dy yoon, yj kim, js bae",social attention scientific articles on stroke altmetric analysis top 50 articles,Social attention and scientific articles on stroke: Altmetric analysis of top-50 articles,clinical neurology and neurosurgery,"cerebral infarction, intracranial hemorrhages, social media, stroke, twitter",2019,English,10.1016/j.clineuro.2019.105386
47,wos,"sk gudi, sp basker",self promotions advertising are they a common practice for boosting altmetric scores,Self-promotions and advertising: are they a common practice for boosting altmetric scores?,science editing,,2019,English,10.6087/kcse.177
48,wos,"ww yan, y zhang",user behaviors network characteristics us research universities on an academic social networking site,User behaviors and network characteristics of US research universities on an academic social networking site,higher education,"academic social networking site, hierarchical clustering, higher education institutions, researchgate metrics, scholar behavior",2019,English,10.1007/s10734-018-0339-x
49,wos,"cs bang, jj lee, gh baik",most influential articles in helicobacter pylori research a bibliometric analysis,The most influential articles in Helicobacter pylori research: A bibliometric analysis,helicobacter,"bibliometrics, helicobacter pylori, publications, research",2019,English,10.1111/hel.12589
50,wos,"ay gasparyan, m yessirkepov, aa voronov, am koroleva, gd kitas",comprehensive approach to open access publishing platforms tools,Comprehensive Approach to Open Access Publishing: Platforms and Tools,journal of korean medical science,"access to information, bibliography as topic, open access publishing, peer review, periodicals as topic",2019,English,10.3346/jkms.2019.34.e184
51,wos,pa kalachikhin,comparison research results by scientific communities,Comparison of Research Results by Scientific Communities,automatic documentation and mathematical linguistics,"altmetrics, bibliometric indicators, network community, professional community, scientific community, scientometric platforms",2019,English,10.3103/s0005105519040071
52,wos,"my ali, j richardson",google scholar citation metrics pakistani lis scholars an overview,Google Scholar Citation metrics of Pakistani LIS scholars: an overview,global knowledge memory and communication,"academic social networking, altmetrics, lis researcher, research impact, researcher profile, scholarly profile",2019,English,10.1108/gkmc-03-2018-0025
53,wos,"s heydari, m shekofteh, m kazerani",relationship between altmetrics citations a study on highly cited research papers,Relationship between Altmetrics and Citations: A Study on the Highly Cited Research Papers,desidoc journal of library information technology,"altmetrics, citations, highly cited articles, mendeley, social media, surgery",2019,English,10.14429/djlit.39.4.14204
54,wos,"yl katchanov, yv markova, na shmatko",comparing topological rank journals in web science mendeley,Comparing the topological rank of journals in Web of Science and Mendeley,heliyon,"altmetrics, bibliometrics, biological journals, information science, ranking, wakeby distribution",2019,English,10.1016/j.heliyon.2019.e02089
55,wos,"g kerchhoff, m kahn, m nassimbeni",a 20 year evaluation plaas research outputs impact on scholarly domain in social media,A 20-year evaluation of PLAAS research outputs: Impact on the scholarly domain and in social media,south african journal of science,"altmetrics, bibliometrics, grey literature, research outputs, scholarly communication",2019,English,10.17159/sajs.2019/5655
56,wos,"h yueping, m gerbig, s kirby",needs assessment for improving library support for dentistry researchers,Needs assessment for improving library support for dentistry researchers,journal of the medical library association,,2019,English,10.5195/jmla.2019.556
57,wos,"zl smith, al chiang, d bowman, mb wallace",longitudinal relationship between social media activity article citations in journal gastrointestinal endoscopy,Longitudinal relationship between social media activity and article citations in the journal Gastrointestinal Endoscopy,gastrointestinal endoscopy,,2019,English,10.1016/j.gie.2019.03.028
58,wos,"j cheek, e oby",getting attention creating presenting visible online researcher self,"Getting Attention Creating and Presenting the Visible, Online, Researcher Self",qualitative inquiry,"altmetrics, presentation of the (digital) self, researcher online presence, researcher selfie, researcher visibility, social media, social networking, visibility as competitive advantage",2019,English,10.1177/1077800418806593
59,wos,"a said, td bowman, ra abbasi, nr aljohani, saeed-ul hassan, r nawaz",mining network level properties twitter altmetrics data,Mining network-level properties of Twitter altmetrics data,scientometrics,"altmetrics, community structure, influential users, motifs, overlapping communities, twitter",2019,English,10.1007/s11192-019-03112-0
60,wos,"b davis, jl ozanne",measuring impact transformative consumer research relational engagement approach as a promising avenue,Measuring the impact of transformative consumer research: The relational engagement approach as a promising avenue,journal of business research,"altmetric analysis, citation analysis, relational engagement, social impact, transformative consumer research",2019,English,10.1016/j.jbusres.2018.12.047
61,wos,"s verma, m madhusudhan",an altmetric comparison highly cited digital library publications india china,An altmetric comparison of highly cited digital library publications of India and China,annals of library and information studies,"altmetrics, china, digital library, highly-cited publications, india",2019,English,
62,wos,"nl stamp, jgy luc, m ouzounian, f bhatti, tn hici, ab antonoff",social media as a tool to rewrite narrative for women in cardiothoracic surgery,Social media as a tool to rewrite the narrative for women in cardiothoracic surgery,interactive cardiovascular and thoracic surgery,"cardiothoracic surgery workforce, diversity, social media, women",2019,English,10.1093/icvts/ivy358
63,wos,"la maggio, cl ratcliff, m krakow, ll moorhead, a enkhbayar, jp alperin",making headlines an analysis us government funded cancer research mentioned in online media,Making headlines: an analysis of US government-funded cancer research mentioned in online media,bmj open,,2019,English,10.1136/bmjopen-2018-025783
64,wos,"ka cawcutt, lm erdahl, mj englander, dm radford, as oxentenko, l girgis, ll migliore, ja poorman, jk silver",use a coordinated social media strategy to improve dissemination research collect solutions related to workforce gender equity,Use of a Coordinated Social Media Strategy to Improve Dissemination of Research and Collect Solutions Related to Workforce Gender Equity,journal of womens health,"gender bias, information dissemination, physicians, social media, translational research, women",2019,English,10.1089/jwh.2018.7515
65,wos,"a pollock, f van wijck",cochrane overviews how can we optimize their impact on evidence based rehabilitation,Cochrane overviews: how can we optimize their impact on evidence-based rehabilitation?,european journal of physical and rehabilitation medicine,"evidence-based medicine, evidence-based practice, literature review as topic, rehabilitation, review, systematic review as topic",2019,English,10.23736/s1973-9087.19.05780-0
66,wos,"l papachristopoulos, g tsakonas, m boudourides, m sfakakis, n kleidis, s lenis, c papatheodorou",discovering structure impact digital library evaluation domain,Discovering the structure and impact of the digital library evaluation domain,international journal on digital libraries,"digital libraries, evaluation, latent dirichlet allocation, network analysis, topic modeling",2019,English,10.1007/s00799-017-0222-x
67,wos,"x zhang, xh wang, hk zhao, po de pablos, yq sun, h xiong",an effectiveness analysis altmetrics indices for different levels artificial intelligence publications,An effectiveness analysis of altmetrics indices for different levels of artificial intelligence publications,scientometrics,"altmetrics, artificial intelligence, bibliometrics, citation analysis, highly cited publication, increase of citation count",2019,English,10.1007/s11192-019-03088-x
68,wos,"my wang, zy wang, gs chen",which can better predict future success articles bibliometric indices or alternative metrics,Which can better predict the future success of articles? Bibliometric indices or alternative metrics,scientometrics,"alternative metrics, bibliometric index, highly-cited papers, machine learning",2019,English,10.1007/s11192-019-03052-9
69,wos,"qj zong, yf xie, rc tuo, js huang, y yang",impact video abstract on citation counts evidence from a retrospective cohort study new journal physics,The impact of video abstract on citation counts: evidence from a retrospective cohort study of New Journal of Physics,scientometrics,"altmetrics, citation analysis, citation counts, retrospective cohort study, video abstract",2019,English,10.1007/s11192-019-03108-w
70,wos,"aa diaz-faes, td bowman, r costas",towards a second generation social media metrics characterizing twitter communities attention around science,Towards a second generation of 'social media metrics': Characterizing Twitter communities of attention around science,plos one,,2019,English,10.1371/journal.pone.0216408
71,wos,"j kolahi, s khazaei, p iranmanesh, p soltani",analysis highly tweeted dental journals articles a science mapping approach,Analysis of highly tweeted dental journals and articles: a science mapping approach,british dental journal,,2019,English,10.1038/s41415-019-0212-z
73,wos,"vd borba, gr alvarez, se caregnato",online attention at mendeley an altmetric analysis scientific output brazilian journals in information science qualis a1 2011 2017,Online attention at the Mendeley: an altmetric analysis of the scientific output of the Brazilian journals in Information Science Qualis A1 (2011-2017),encontros bibli revista eletronica de biblioteconomia e ciencia da informacao,"altmetrics, mendeley, online attention, scientific journals",2019,Portuguese,10.5007/1518-2924.2019.e58658
74,wos,"es kim, dy yoon, hj kim, k lee, y kim, js bae, jh lee",most mentioned neuroimaging articles in online media a bibliometric analysis top 100 articles with highest altmetric attention scores,The most mentioned neuroimaging articles in online media: a bibliometric analysis of the top 100 articles with the highest Altmetric Attention Scores,acta radiologica,"altmetrics, bibliometric analysis, neuroimaging, social media",2019,English,10.1177/0284185119843226
75,wos,"hj kim, dy yoon, es kim, ej yun, hj jeon, jy lee, bm cho",most mentioned neurointervention articles in online media a bibliometric analysis top 101 articles with highest altmetric attention scores,The most mentioned neurointervention articles in online media: a bibliometric analysis of the top 101 articles with the highest altmetric attention scores,journal of neurointerventional surgery,,2019,English,10.1136/neurintsurg-2018-014368
76,wos,"h shema, o hahn, a mazarakis, i peters",retractions from altmetric bibliometric perspectives,Retractions from altmetric and bibliometric perspectives,information wissenschaft und praxis,"altmetrics, bibliometrics, publication, scientific misconduct",2019,English,10.1515/iwp-2019-2006
77,wos,"r haunschild, l leydesdorff, l bornmann, i hellsten, w marx",does public discuss other topics on climate change than researchers a comparison explorative networks based on author keywords hashtags,Does the public discuss other topics on climate change than researchers? A comparison of explorative networks based on author keywords and hashtags,journal of informetrics,"altmetrics, author keywords, bibliometrics, hashtags, networks, news, twitter",2019,English,10.1016/j.joi.2019.03.008
78,wos,"ca d'angelo, s di russo",testing for universality mendeley readership distributions,Testing for universality of Mendeley readership distributions,journal of informetrics,"altmetrics, bibliometrics, css, impact, mendeley readership",2019,English,10.1016/j.joi.2019.03.011
79,wos,"ym hlavcheva, ov kanishcheva, nv borysova",a survey informetric methods technologies,A Survey of Informetric Methods and Technologies,cybernetics and systems analysis,"bibliometric system, citation index, informetrics, metric, scientometric system, scientometrics",2019,English,10.1007/s10559-019-00158-z
80,wos,"pj landrigan, jm braun, ef crain, j forman, m galvez, ba gitterman, g halevi, c karr, jk mall, ja paulson, ad woolf, bp lanphear, ro wright",building capacity in pediatric environmental health academic pediatric associations professional updates development program,Building Capacity in Pediatric Environmental Health: The Academic Pediatric Association's Professional updates Development Program,academic pediatrics,"children's environmental health, medical education, pediatric careers, research training",2019,English,10.1016/j.acap.2019.01.001
81,wos,"b alvarez-bornstein, m montesi",who is interacting with researchers on twitter a survey in field information science,Who is interacting with researchers on Twitter? A survey in the field of Information Science,jlis it,"altmetrics, communication, library and information science, social media interactions, societal impact of research, twitter",2019,English,10.4403/jlis.it-12530
82,wos,"c greenhow, b gleason, kbs willet",social scholarship revisited changing scholarly practices in age social media,Social scholarship revisited: Changing scholarly practices in the age of social media,british journal of educational technology,,2019,English,10.1111/bjet.12772
83,wos,"r repiso, a castillo-esparcia, d torres-salinas",altmetrics alternative indicators for web science communication studies journals,"Altmetrics, alternative indicators for Web of Science Communication studies journals",scientometrics,"altmetrics, scientific journals, scientometrics, social media, webmetrics",2019,English,10.1007/s11192-019-03070-7
84,wos,"ile manhique, fd rodrigues, rcg sant'ana, hdc casarin",altmetrics indicators in brazilian journals information science,Altmetrics indicators in Brazilian Journals of Information Science,revista ibero americana de ciencia da informacao,"altmetrics, brazil, database of references from information science journals, information science, social networks",2019,Portuguese,10.26512/rici.v12.n2.2019.9156
85,wos,"m timilsina, m d'aquin, hx yang",heat diffusion approach for scientific impact analysis in social media,Heat diffusion approach for scientific impact analysis in social media,social network analysis and mining,"altmetrics, diffusion, graph, impact, link, prediction",2019,English,10.1007/s13278-019-0560-3
86,wos,j cho,subject analysis lis data archived in a figshare using co occurrence analysis,Subject analysis of LIS data archived in a Figshare using co-occurrence analysis,online information review,"figshare, lis, pathfinder network, research data",2019,English,10.1108/oir-12-2017-0369
87,wos,"d de filippo, p silva, mm borges",characterization iberian publications on open science analysis their presence in social media,Characterization of the Iberian publications on open science and analysis of their presence in social media,revista espanola de documentacion cientifica,"altmetric indicators, bibliometric indicators, open science, portugal, spain",2019,Spanish,10.3989/redc.2019.2.1580
88,wos,"n robinson-garcia, w arroyo-machado, d torres-salinas",mapping social media attention in microbiology identifying main topics actors,Mapping social media attention in Microbiology: identifying main topics and actors,fems microbiology letters,"altmetrics, microbiology, news media, policy documents, science mapping, twitter",2019,English,10.1093/femsle/fnz075
89,wos,"saeed-ul hassan, td bowman, m shabbir, a akhtar, m imran, nr aljohani",influential tweeters in relation to highly cited articles in altmetric big data,Influential tweeters in relation to highly cited articles in altmetric big data,scientometrics,"altmetrics, highly cited articles, influential users, twitter",2019,English,10.1007/s11192-019-03044-9
90,wos,"se knowlton, s paganoni, w niehaus, m verduzco-gutierrez, r sharma, ma iaccarino, t hayano, jc schneider, jk silver",measuring impact research using conventional alternative metrics,Measuring the Impact of Research Using Conventional and Alternative Metrics,american journal of physical medicine rehabilitation,"alternative metrics, bibliometrics, internet, social media",2019,English,10.1097/phm.0000000000001066
91,wos,"dbt robinson, l hopkins, c brown, t abdelrahman, ag powell, rj egan, wg lewis",relative value adapted novel bibliometrics in evaluating surgical academic impact reach,Relative Value of Adapted Novel Bibliometrics in Evaluating Surgical Academic Impact and Reach,world journal of surgery,,2019,English,10.1007/s00268-018-04893-w
92,wos,"h zheng, hh aung, m erdt, tq peng, as raamkumar, yl theng",social media presence scholarly journals,Social media presence of scholarly journals,journal of the association for information science and technology,,2019,English,10.1002/asi.24124
93,wos,"j wooldridge, mb king",altmetric scores an early indicator research impact,Altmetric scores: An early indicator of research impact,journal of the association for information science and technology,,2019,English,10.1002/asi.24122
94,wos,"n bautista-puig, d de filippo, e mauleon, e sanz-casado",scientific landscape citizen science publications dynamics content presence in social media,"Scientific Landscape of Citizen Science Publications: Dynamics, Content and Presence in Social Media",publications,"altmetrics, citizen science, open science",2019,English,10.3390/publications7010012
95,wos,"l bornmann, r haunschild, j adams",do altmetrics assess societal impact in a comparable way to case studies an empirical test convergent validity altmetrics based on data from uk research excellence framework ref,Do altmetrics assess societal impact in a comparable way to case studies? An empirical test of the convergent validity of altmetrics based on data from the UK research excellence framework (REF),journal of informetrics,"altmetrics, bibliometrics, case studies, mhq, ref2014, research excellence framework, societal impact",2019,English,10.1016/j.joi.2019.01.008
96,wos,"ag nuzzolese, p ciancarini, a gangemi, s peroni, f poggi, v presutti",do altmetrics work for assessing research quality,Do altmetrics work for assessing research quality?,scientometrics,"altmetrics, bibliometric indicators, correlation analysis, research quality",2019,English,10.1007/s11192-018-2988-z
97,wos,jl ortega,exploratory analysis publons metrics their relationship with bibliometric altmetric impact,Exploratory analysis of Publons metrics and their relationship with bibliometric and altmetric impact,aslib journal of information management,"altmetrics, bibliometrics, peer-review, plumx, publons, publons score",2019,English,10.1108/ajim-06-2018-0153
98,wos,"rc silva, sad vanz",impact altmetrics on visibility open acess brazilian nursing articles a case study,The impact of altmetrics on the visibility of open acess Brazilian nursing articles: A case study,transinformacao,"altmetrics, mendeley, open access, plumk, scientific journal",2019,Portuguese,10.1590/2318-0889201931e190025
99,wos,g barata,more relevant alternative metrics for latin america,More relevant alternative metrics for Latin America,transinformacao,"altmetrics, open access, scholarly communication, science communication, social media",2019,Portuguese,10.1590/2318-0889201931e190031
100,wos,n gonzalez-fernandez-villavicencio,reading indicators on social networks goodreads librarything their impact on amazon,Reading indicators on the social networks Goodreads and LibraryThing and their impact on Amazon,zeitschrift fur katalanistik,"amazon, goodreads, librarything, reading indicators, reading social networks, virtual reading clubs",2019,English,
101,wos,"zq xiong, yf duan",evaluating impact books in chinese studies a case study books authored by ucla scholars,Evaluating the impact of books in Chinese Studies: A case study of books authored by UCLA scholars,malaysian journal of library information science,"altmetrics, bibliometrics, book evaluation, book impact, chinese studies",2019,English,10.22452/mjlis.vol24no3.2
102,wos,"ab click, r borchardt",library supported open access funds criteria impact viability,"Library Supported Open Access Funds: Criteria, Impact, and Viability",evidence based library and information practice,,2019,English,10.18438/eblip29623
103,wos,a gruzova,bibliographical activity in networked information environment,Bibliographical activity in the networked information environment,nauchnye i tekhnicheskie biblioteki scientific and technical libraries,"altmetrics, bibliographic management, folksonomy, web 2.0, web-bibliography",2019,English,10.33186/1027-3689-2019-7-37-53
104,wos,"a uribe-tirado, j ochoa-gutierrez, k ruiz-nunez, m fajardo-bermudez",visibility altmetric impact university antioquia researchers methodology applicable to universities,Visibility and altmetric impact of the University of Antioquia researchers: Methodology applicable to universities,transinformacao,"academic platforms, altmetrics, impact, researchers, university, visibility",2019,Spanish,10.1590/2318-0889201931e190016
105,wos,fc gouveia,altmetric studies in brazil an analysis from curricula on lattes platform cnpq,Altmetric studies in Brazil: An analysis from the curricula on the Lattes Platform-CNPq,transinformacao,"altmetrics, brazil, facebook, lattes, twitter",2019,Portuguese,10.1590/2318-0889201931e190027
106,wos,"m shintaku, j barcelos, r araujo, rf de brito",mega journals altimetric relations between new forms research publications evaluations impact,Mega Journals and altimetric: relations between new forms of research publications and evaluations of impact,encontros bibli revista eletronica de biblioteconomia e ciencia da informacao,"altmetrics, mega-journals, scientific communication, scientific communication and internet",2019,Portuguese,10.5007/1518-2924.2019v24n54p52
107,wos,"k osman, s cunningham",engagement impact through amplifier platforms,Engagement and impact through 'amplifier platforms',australian universities review,"amplifier platforms, digital media, online scholarly communication, public scholarship, the conversation",2019,English,
108,wos,"kr powell, jj elder",a bibliometric services workshop for subject librarians,A bibliometric services workshop for subject librarians,library management,"altmetrics, bibliometrics, citation analysis, library services, peer-to-peer training, workshop",2019,English,10.1108/lm-03-2018-0014
109,wos,"mk saberi, f ekhtiyari",usage captures mentions social media citations lis highly cited papers an altmetrics study,"Usage, captures, mentions, social media and citations of LIS highly cited papers: an altmetrics study",performance measurement and metrics,"altmetrics, library and information science",2019,English,10.1108/pmm-10-2018-0025
110,wos,jb holbrook,designing responsible research innovation to encourage serendipity could enhance broader societal impacts research,Designing responsible research and innovation to encourage serendipity could enhance the broader societal impacts of research,journal of responsible innovation,"altmetrics, broader impacts, evaluation, responsible research and innovation, serendipity, tool",2019,English,10.1080/23299460.2017.1410326
111,wos,j komljenovic,linkedin platforming labour new employability mandate for universities,"Linkedin, platforming labour, and the new employability mandate for universities",globalisation societies and education,"digital platform, employability, higher education, labour market, linkedin",2019,English,10.1080/14767724.2018.1500275
112,wos,"d kalita, d deka, t hazarika",a 2d evaluation altmetrics influence in citation growth case study indian research articles in plos journals,A 2D Evaluation of Altmetrics Influence in Citation Growth: Case Study of Indian Research Articles in PLoS Journals,journal of scientometric research,"altmetrics, indian research, scientometrics, t-test",2019,English,10.5530/jscires.8.1.4
113,wos,"jp alperin, cj gomez, s haustein",identifying diffusion patterns research articles on twitter a case study online engagement with open access articles,Identifying diffusion patterns of research articles on Twitter: A case study of online engagement with open access articles,public understanding of science,"altmetrics, diffusion, open access, public use of research, science communication, social media, social network analysis, twitter",2019,English,10.1177/0963662518761733
114,wos,"s hayon, h tripathi, im stormont, mm dunne, mj naslund, mm siddiqui",twitter mentions academic citations in urologic literature,Twitter Mentions and Academic Citations in the Urologic Literature,urology,,2019,English,10.1016/j.urology.2018.08.041
