,base,authors_l,title_l,title,journal_l,keywords_l,year,language,doi
0,scopus,"j n love, s a santen, d p way, b w munzer, c merritt, d s ander, j w cyrus",early impact of the western journal of emergency medicine cdem cord special issue in educational research practice,Early Impact of the Western Journal of Emergency Medicine CDEM/CORD Special Issue in Educational Research & Practice,the western journal of emergency medicine,,2019,English,10.5811/westjem.2019.10.44484
1,scopus,"e s kim, d y yoon, h j kim, k lee, y kim, j s bae, j -h lee",the most mentioned neuroimaging articles in online media a bibliometric analysis of the top 100 articles with the highest altmetric attention scores,The most mentioned neuroimaging articles in online media: a bibliometric analysis of the top 100 articles with the highest Altmetric Attention Scores,acta radiologica,"altmetrics, bibliometric analysis, neuroimaging, social media",2019,English,10.1177/0284185119843226
2,scopus,"a p nocera, c j boyd, h boudreau, o hakim, s rais-bahrami",examining the correlation between altmetric score and citations in the urology literature,Examining the Correlation Between Altmetric Score and Citations in the Urology Literature,urology,,2019,English,10.1016/j.urology.2019.09.014
3,scopus,"k zhao, m chen, w zeng",an empowerment evaluation framework for national scientific and technical information governance,An empowerment evaluation framework for national scientific and technical information governance,high technology letters,"ee-capability system, empowerment evaluation, scientific and technical (s&t) information governance, technology assessment",2019,English,10.3772/j.issn.1006-6748.2019.04.015
4,scopus,"d y fu, j j hughey",releasing a preprint is associated with more attention and citations for the peerreviewed article,Releasing a preprint is associated with more attention and citations for the peerreviewed article,elife,,2019,English,10.7554/elife.52646
5,scopus,"m timilsina, m d'aquin, h yang",heat diffusion approach for scientific impact analysis in social media,Heat diffusion approach for scientific impact analysis in social media,social network analysis and mining,"altmetrics, diffusion, graph, impact, link, prediction",2019,English,10.1007/s13278-019-0560-3
6,scopus,"a ouchi, m k saberi, n ansari, l hashempour, a isfandyari-moghaddam",do altmetrics correlate with citations a study based on the 1 000 most cited articles,"Do altmetrics correlate with citations? A study based on the 1,000 most-cited articles",information discovery and delivery,"alternative metrics, altmetrics, bibliometrics, highly cited articles, nature, social media",2019,English,10.1108/idd-07-2019-0050
7,scopus,a e williams,exploring the utility of an emerging altmetric platform a swot analysis of plum analytics,Exploring the utility of an emerging altmetric platform: a SWOT analysis of Plum Analytics,digital library perspectives,,2019,English,10.1108/dlp-08-2019-0031
8,scopus,"y zhou, j -c na",a comparative analysis of twitter users who tweeted on psychology and political science journal articles,A comparative analysis of Twitter users who Tweeted on psychology and political science journal articles,online information review,"machine learning, political science, psychology, scholarly communication, twitter user profile",2019,English,10.1108/oir-03-2019-0097
9,scopus,"j chang, n desai, a gosain",correlation between altmetric score and citations in pediatric surgery core journals,Correlation Between Altmetric Score and Citations in Pediatric Surgery Core Journals,journal of surgical research,"academic medicine, bibliometrics, impact factor, social media, twitter",2019,English,10.1016/j.jss.2019.05.010
10,scopus,"a w k yeung, y -s ho",highly cited dental articles and their authors an evaluation of publication and citation characteristics,Highly cited dental articles and their authors: An evaluation of publication and citation characteristics,journal of investigative and clinical dentistry,"bibliometric, citation, classic article, implant, web of science",2019,English,10.1111/jicd.12462
